assetid,assetname,classofasset,schemename,schemecode,sanctiondate,wage,Total Material,semiskilled,skilled,material,contingency,total,mandays
32000044070,Improvement of Land,Reclamation of Land,"Modakpara, Land Developement of the indivisual benificiary (BPL/SC/ST) under Dig G.P Phase-IV",3201009008/LD/321002040553461,26-02-2014,150380,0,0,0,0,0  ,150380,
32000044110,Improvement of Land,Reclamation of Land,"Madhyam Hatisala, Land Developement of the indivisual benificiary (BPL/SC/ST) Phase-II",3201009008/LD/321002040553487,26-02-2014,90228,19011,0,19011,0,0  ,109239,
32000044222,Improvement of Land,Earthern road,"Modakpara,Earth Work in road from Nikaripara Ghat to Culvert under Dignagar Gram Panchayet ",3201009008/RC/320201060132931,08-05-2013,0,3322,0,3322,0,0  ,3322,
32000044192,Improvement of Land,Earthern road,"Modakpara,Earth Work in road from the h/o Haribandhu Debnath towards math under Dignagar G.P",3201009008/RC/320201060132923,10-05-2013,0,26048,26048,0,0,0  ,26048,
32000044142,Improvement of Land,Reclamation of Land,"Bazarpara, Land Developement of the indiviusual Beni (BPL/SC/ST) under Dig G.P Phase-II",3201009008/LD/321002040555490,26-02-2014,185858,13182,0,13182,0,0  ,199040,
32000044470,Enrichment of Environment,Plantation,"Goalpara, Plantation beside PWD road from Gaddani More",3201009008/DP/34040958537,08-07-2014,20280,27751.7,0,0,27751.7,0  ,48031.7,
32000044319,Improvement of Land,Renovation,Moilke Renovation of pond of Bijay Kr. Biswas & Binay Kr. Biswas under Dig G.P,3201009008/WH/203030318319,27-09-2013,241630,69496,0,69496,0,0  ,311126,
32000044623,Enrichment of Environment,Plantation,"Gholgachi, Plantation beside the road PMGSY",3201009008/DP/34040958713,08-07-2014,23322,54565.75,0,8365,46200.75,0  ,77887.75,
32000044278,Improvement of Land,Renovation,Removing of water Hyacinth at Gupia Bill at Golghachi under Dignagar G.P,3201009008/WH/203030318030,06-09-2013,48084,10128,0,10128,0,0  ,58212,
32000044696,Enrichment of Environment,Plantation,"Baliadanga Purbapara, Plantation beside PMGY Road",3201009008/DP/34040959175,08-07-2014,9126,47409.45,0,10140,37269.45,0  ,56535.45,
32000044559,Enrichment of Environment,Land Development,"Goalpara, Plantation beside the road of Gupiya Bill",3201009008/DP/34040958707,08-07-2014,11154,47789,0,10269,37520,0  ,58943,
32000044724,Enrichment of Environment,Others,"Hatisala uttar, Fruit plantation Phase I",3201009008/DP/34040960255,22-07-2014,58981,1521,0,1521,0,0  ,60502,
32000044752,Enrichment of Environment,Others,"Uttar Hatisala, Plantation in road road from Moilka",3201009008/DP/34040960325,10-07-2014,17069,760,0,760,0,0  ,17829,
32000045648,Enrichment of Environment,Others,"Kaya, Plantation on road towards Chandra",3201009008/DP/34040960363,10-07-2014,16055,640,0,0,640,0  ,16695,
32000045687,Enrichment of Environment,Plantation,"Kaya, Plantation on road towards Naduriya",3201009008/DP/34040960364,10-07-2014,14196,1280,0,0,1280,0  ,15476,
32000045740,Enrichment of Environment,Road/Canal Side Plantation,Uttar Hatisala Fruit Plantation Phase II,3201009008/DP/34040973404,20-11-2014,2028,253,0,253,0,0  ,2281,
32000045801,IAY House,Poultry Shelter,304 Con of IAY of Nitai Khatuya,3201009008/IF/34040809532,20-11-2014,15366,0,0,0,0,0  ,15366,
32000045882,Improvement of Land,Reclamation of Land,"Moilka, Land developement of the indivisual benificiary",3201009008/LD/321002040566951,28-05-2014,86264,0,0,0,0,0  ,86264,
32000045908,Improvement of Land,Reclamation of Land,Madhyam Hatisala Land Developement of the indivisual benificiary,3201009008/LD/321002040567096,20-06-2014,316684,0,0,0,0,0  ,316684,
32000045933,Improvement of Land,Development of Waste Land,"Ghoshpara, Land Developement of the indivisual beni (BPL/SC/ST) Phase II",3201009008/LD/321002040568173,22-05-2014,202376,0,0,0,0,0  ,202376,
32000045954,Improvement of Land,Reclamation of Land,"Chabighata singerpara, Land development in the indivisual beni (bpl/sc/st) phase II",3201009008/LD/321002040570528,17-07-2014,119228,28547,7000,21547,0,0  ,147775,
32000045976,Improvement of Land,Reclamation of Land,"Chabighata, Singerdanga Land Development of indivisual beni (BPL/SC/ST) Phase III",3201009008/LD/321002040571767,01-08-2014,327672,0,0,0,0,0  ,327672,
32000046065,Improvement of Land,Reclamation of Land,"Goalpara, Land Development of the indi. beni (BPL/SC/ST) Phase III",3201009008/LD/321002040571781,01-08-2014,364080,27253,3000,24253,0,0  ,391333,
32000050106,Making of Sanitation,Individual Household Latrines,Hatisala Uttar Construction of IIHL Phase VII,3201009008/RS/34040945148,22-08-2014,3549,0,0,0,0,0  ,3549,
32000050114,Making of Sanitation,Individual Household Latrines,Hatisala Uttar Construction of IIHL Phase VI,3201009008/RS/34040945144,22-08-2014,9126,18104,0,0,18104,0  ,27230,
32000050140,Making of Sanitation,Individual Household Latrines,Hatisala Uttar Construction of IHHL Phase V,3201009008/RS/34040939814,22-08-2014,7098,36208,0,0,36208,0  ,43306,
32000050153,Making of Sanitation,Individual Household Latrines,"Hatisala Uttar, Construction of indi. HHL Phase IV",3201009008/RS/34040937764,22-08-2014,7098,18103,0,0,18103,0  ,25201,
32000050170,Making of Sanitation,Individual Household Latrines,Hatisala Uttar Constuction of IHHL Phase III,3201009008/RS/34040937763,22-08-2014,9126,24947,0,6844,18103,0  ,34073,
32000050179,Making of Sanitation,Individual Household Latrines,Hatisala Uttar Construction of indi. Latrine Phase II,3201009008/RS/34040937761,22-08-2014,8112,9049,0,0,9049,0  ,17161,
32000050244,Rural Road ,Earthern road,"Gholgachi, Earth work in a road from H/O Swapan Ghosh to H/O Nepal Ghosh",3201009008/RC/320201060208143,26-11-2014,235996,14956,14956,0,0,0  ,250952,
32000050270,Improvement of Land,Reclamation of Land,"Dignagar Uttarpara, Land Dev.of the indi. beni (Phase IV)",3201009008/LD/321002040580259,12-11-2014,211888,12928,0,12928,0,0  ,224816,
32000050284,Improvement of Land,Development of Waste Land,Geolgari Land Dev. of the indi beni Phase VI,3201009008/LD/321002040578667,26-11-2014,134808,0,0,0,0,0  ,134808,
32000050372,Improvement of Land,Reclamation of Land,"Goalpara, Land Development of the indi beni Phase VIII",3201009008/LD/321002040578666,26-11-2014,175316,0,0,0,0,0  ,175316,
32000050437,Improvement of Land,Reclamation of Land,Goalpara land deve. Phase VII,3201009008/LD/321002040578142,12-11-2014,174004,10900,0,10900,0,0  ,184904,
32000169469,Land Development,Reclamation of Land,"Chapra Dignagar Uttar, land Development of the indi. Beni (BPL/SC/St) Phase II",3201009008/LD/321002040571983,01-08-2014,370640,16730,0,16730,0,0  ,387370,
32000169483,Land Development,Reclamation of Land,"Ghoshpara, Land Development of the indi. beni Phase II",3201009008/LD/321002040572579,01-08-2014,405900,0,0,0,0,0  ,405900,
32000169519,Land Development,Reclamation of Land,Goalpara Land development of the  indi/ beni Phase,3201009008/LD/321002040572806,07-08-2014,408360,0,0,0,0,0  ,408360,
32000169587,Land Development,Reclamation of Land,"Hatisala Uttar, Land Development of the indi. beni Phase V",3201009008/LD/321002040572820,12-08-2014,401636,13941,0,13941,0,0  ,415577,
32000169612,Land Development,Reclamation of Land,"Chabighata Singerpara, Land development of the indi.beni Phase IV",3201009008/LD/321002040573015,18-08-2014,346204,14195,0,14195,0,0  ,360399,
32000171551,INDIVISUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase-02,3201009/RS/34040949136,16-10-2014,5408,16192,0,0,16192,0  ,21600,
32000171553,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase-03,3201009/RS/34040949137,16-10-2014,5408,16192,0,0,16192,0  ,21600,
32000171555,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase-04,3201009/RS/34040949143,16-10-2014,5408,16192,0,0,16192,0  ,21600,
32000171556,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase-05,3201009/RS/34040949145,16-10-2014,5408,16192,0,0,16192,0  ,21600,
32000171557,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase-06,3201009/RS/34040949148,16-10-2014,5408,16192,0,0,16192,0  ,21600,
32000171559,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase-07,3201009/RS/34040949149,16-10-2014,5408,16192,0,0,16192,0  ,21600,
32000171562,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase-08,3201009/RS/34040949166,16-10-2014,5408,16192,0,0,16192,0  ,21600,
32000171567,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase-09,3201009/RS/34040949167,16-10-2014,5408,16192,0,0,16192,0  ,21600,
32000171569,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase-11,3201009/RS/34040949169,16-10-2014,5408,16192,0,0,16192,0  ,21600,
32000171570,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL latrine with Brick work Sansad No-05 Phase-12,3201009/RS/34040949715,16-10-2014,1352,4049.4,0,0,4049.4,0  ,5401.4,
32000171573,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-07 Phase-23,3201009/RS/34040950450,16-10-2014,6084,12996,0,0,12996,0  ,19080,
32000171574,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-07 Phase-24,3201009/RS/34040950452,16-10-2014,6084,12996,0,0,12996,0  ,19080,
32000171576,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-07 Phase-25,3201009/RS/34040950453,16-10-2014,6084,12996,0,0,12996,0  ,19080,
32000171577,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-07 Phase-26,3201009/RS/34040950454,16-10-2014,6084,12996,0,0,12996,0  ,19080,
32000171584,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-067 Phase-27,3201009/RS/34040950456,16-10-2014,6084,12996,0,0,12996,0  ,19080,
32000171585,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-07 Phase-28,3201009/RS/34040950457,16-10-2014,6084,12996,0,0,12996,0  ,19080,
32000171586,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-07 Phase-29,3201009/RS/34040950458,16-10-2014,3042,6498,0,0,6498,0  ,9540,
32000171587,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase-31,3201009/RS/34040950480,16-10-2014,6084,12996,0,0,12996,0  ,19080,
32000171588,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase-32,3201009/RS/34040950481,16-10-2014,6084,12996,0,0,12996,0  ,19080,
32000171589,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase-33,3201009/RS/34040950482,16-10-2014,6084,12996,0,0,12996,0  ,19080,
32000171591,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase-34,3201009/RS/34040950483,16-10-2014,4563,9747,0,0,9747,0  ,14310,
32000171594,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-07 Phase-13,3201009/RS/34040951050,16-10-2014,0,12996,0,0,12996,0  ,12996,
32000171595,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-13 Phase-14,3201009/RS/34040951224,16-10-2014,0,12996.95,0,0,12996.95,0  ,12996.95,
32000171597,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase 15,3201009/RS/34040951310,16-10-2014,0,12996,0,0,12996,0  ,12996,
32000171598,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase 16,3201009/RS/34040951314,16-10-2014,0,12996,0,0,12996,0  ,12996,
32000171599,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase 17,3201009/RS/34040951317,16-10-2014,0,12926,0,0,12926,0  ,12926,
32000171600,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase 18,3201009/RS/34040951329,16-10-2014,0,13066,0,0,13066,0  ,13066,
32000171601,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase 19,3201009/RS/34040951519,16-10-2014,0,12996,0,0,12996,0  ,12996,
32000171603,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase 20,3201009/RS/34040951525,16-10-2014,0,12996,0,0,12996,0  ,12996,
32000171604,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase-30,3201009/RS/34040951527,16-10-2014,6084,12996,0,0,12996,0  ,19080,
32000171605,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase 21,3201009/RS/34040951579,16-10-2014,0,12996,0,0,12996,0  ,12996,
32000171606,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-08 Phase 22,3201009/RS/34040951582,16-10-2014,0,6498,0,0,6498,0  ,6498,
32000173713,Improvement of land,Reclamation of Land,"Hatisala Madhyam, Land Development of the indi (BPL/SC/ST) Phase IV",3201009008/LD/321002040573455,22-08-2014,310452,23575,0,23575,0,0  ,334027,
32000173716,Improvement of land,Reclamation of Land,"Chapra Dignagar, Land Development of the indi. beni  ",3201009008/LD/321002040574516,25-07-2014,75440,13689,4563,9126,0,0  ,89129,
32000173720,Improvement of land,Reclamation of Land,"Geolgari, Land development of the indi. beni  Phase- IV",3201009008/LD/321002040575317,20-09-2014,138580,7098,0,7098,0,0  ,145678,
32000173723,Improvement of land,Reclamation of Land,"Dignagar uttarpara, land Development of the indi. beni Phase III",3201009008/LD/321002040575318,19-09-2014,334996,5577,0,5577,0,0  ,340573,
32000173728,Improvement of land,Development of Waste Land,Gholgachi Land Development of the indi. beni Phase III,3201009008/LD/321002040575319,19-09-2014,260924,10900,0,10900,0,0  ,271824,
32000173737,Improvement of land,Reclamation of Land,"Gholgachi, Land Development of the indi.beni Phase IV",3201009008/LD/321002040575908,24-09-2014,187780,2028,0,2028,0,0  ,189808,
32000173744,Improvement of land,Reclamation of Land,Chabighata Singerpara Land Development of the indi. beni Phase V,3201009008/LD/321002040575910,09-10-2014,355716,26869,15462,11407,0,0  ,382585,
32000183174,Improvement of land,Reclamation of Land,"Modakpara, Land Development of the indi. beni Phase III",3201009008/LD/321002040575911,18-08-2014,344072,26870,0,26870,0,0  ,370942,
32000183183,Improvement of land,Reclamation of Land,"Goalpara, Land Development Phase V",3201009008/LD/321002040575917,09-10-2014,236324,0,0,0,0,0  ,236324,
32000183196,Improvement of land,Development of Waste Land,Modakpara Land Development of the indi. beni Phase IV,3201009008/LD/321002040576747,21-10-2014,367032,26618,0,26618,0,0  ,393650,
32000183202,Improvement of land,Reclamation of Land,"Goalpara, Land Development of the indivisual beni Phase VI",3201009008/LD/321002040576889,27-10-2014,394584,49911,0,49911,0,0  ,444495,
32000183213,Improvement of land,Reclamation of Land,"Hatisala Madhyam, Land Development of the indi. beni Phase V",3201009008/LD/321002040577124,29-10-2014,383596,0,0,0,0,0  ,383596,
32000183220,Improvement of land,Reclamation of Land,"Gholgachi, Land Development of the indi. beni Phase V",3201009008/LD/321002040577126,29-10-2014,350140,21800,0,21800,0,0  ,371940,
32000183236,Improvement of land,Reclamation of Land,Chapra Dignagar Dakshin land Development of the indi. beni Phase II,3201009008/LD/321002040577643,04-11-2014,133660,6844,0,6844,0,0  ,140504,
32000183245,Improvement of land,Reclamation of Land,Dakshin Hatisala Land deve.Phase I,3201009008/LD/321002040577883,12-11-2014,203524,12674,0,12674,0,0  ,216198,
32000183254,Improvement of land,Reclamation of Land,Gholgachi Land deve. of the indi. beni Phase VII,3201009008/LD/321002040577890,12-11-2014,76752,4816,0,4816,0,0  ,81568,
32000183264,Improvement of land,Reclamation of Land,Modakpara Land Development of the indi. beni. Phase V,3201009008/LD/321002040577944,12-11-2014,374904,13182,0,13182,0,0  ,388086,
32000183267,Improvement of land,Reclamation of Land,Gholgachi Land Dev. of the indi. beni Phase VIII,3201009008/LD/321002040577945,12-11-2014,212872,0,0,0,0,0  ,212872,
32000183281,Improvement of land,Reclamation of Land,UtttarHatisala Land deve.Phase VI,3201009008/LD/321002040578141,12-11-2014,112832,6844,0,6844,0,0  ,119676,
32000184637,CULTIVATIONOFMANGOORCHARD,Plantation,Cultivation of Mango Orchard in the land of IBS/SC/ST at Dignagar GP Under Kgr-I Block(15-16),3201009/DP/34041010166,23-07-2015,150858,56189.4,2088,7308,46793.4,0  ,207047.4,
32000184642,CULTIVATIONOFLEMONORCHARD,Plantation,Cultivation of Lemon Orchard in the land of IBS/SC/ST Under Dignagar GP Under Krishnagar-I P.S.,3201009/DP/34041015527,23-07-2015,44544,19320.4,783,1827,16710.4,0  ,63864.4,
32000191110,Rural Sanitation,Individual Household Latrines,"Bazarpara,Construction of IIHL 10 Nos.Phase II",3201009008/RS/34040926648,23-04-2014,0,0,0,0,0,0  ,0,
32000194227,CULTIVATIONOFMANGOORCHARDPLANTATION,Plantation,Cultivation of Mango Orchard in the land of IBS/SC/ST Under Dignagar GP Under Krishnagar-I Block,3201009/DP/34041018896,07-09-2015,53070,17250.3,1044,2088,14118.3,0  ,70320.3,
32000194825,Sanitation,Individual Household Latrines,"Chapra Dignagar Uttar, Construction of IHL 6 Nos. (Phase-II)",3201009008/RS/34040930553,07-07-2014,0,0,0,0,0,0  ,0,
32000194834,Sanitation,Individual Household Latrines,"Chapra Dignagar Uttar, Construction of IHL 14 Nos. (Phase I)",3201009008/RS/34040930552,12-06-2014,0,0,0,0,0,0  ,0,
32000598558,Improvement of Land,Others,"Gholgachi, Land Development of ind. beni (BPL/SC/S",3201009008/LD/321002040571772,01-08-2014,367852,47149,9125,38024,0,0  ,415001,
32000598977,Earth work in Road,Earthern road,Gholgachi Earth Work in a Road from PMGSY to culvert,3201009008/RC/320201060115632,31-12-2012,0,8834,0,8834,0,0  ,8834,
32000599045,Improvement of Land,Land Leveling,"Gholgachi, Land Developement of the indivisual benificiary (BPL/SC/ST/IAY) Phase II",3201009008/LD/321002040526927,10-11-2013,248492,0,0,0,0,0  ,248492,
32000599118,Improvement of Land,Land Leveling,Gholgachi Land developement of the indivisual benificiary BPL/SC/ST/IAY phase III,3201009008/LD/321002040531248,23-12-2013,218562,25595,0,25595,0,0  ,244157,
32000599250,Improvement of Land,Land Leveling,"Gholgachi, Land development of indivisual benificiary ( BPL/SC/ST/IAY) Phase 1",3201009008/LD/321002040524938,31-10-2013,269410,0,0,0,0,0  ,269410,
32000599414,Improvement of Land,Development of Waste Land,"Gholgachi, Land Development of the indivisual benificiary (BPL/SC/ST)",3201009008/LD/321002040569282,05-07-2014,74948,0,0,0,0,0  ,74948,
32000599351,Improvement of Land,Earthen Bunding,E/W at Gholgachi from the shallow of Bipad Biswas to Gupia Bill,3201009008/LD/05/11-12,15-11-2011,120432,0,0,0,0,0  ,120432,
32000599469,Earth work in Road,Earthern road,Earth Work in Road From the Starting of Gholgachi to the end of Gholgachi,3201009008/RC/320201060138350,19-09-2013,338049,0,0,0,0,0  ,338049,
32000599578,Earth work in Road,Bitumen Top,E/W in a road from the Chabighata upto Galpara at Gholgachi under Dignagar ,3201009008/RC/08(11-12),19-01-2012,318733,0,0,0,0,0  ,318733,
32000599627,Earth work in Road,Earthern road,Earthwork in road from Golgachi Pry.School to Puranopara Paka Rasta under Dignagar G.P,3201009008/RC/320201060153112,19-09-2013,189946,22650,0,22650,0,0  ,212596,
32000599715,Improvement of Land,Land Leveling,"Gholgachi, Land developement of the Primary School under Dignagar G.P",3201009008/LD/321002040537373,21-01-2014,59568,0,0,0,0,0  ,59568,
32000599760,Earth work in Road,Earthern road,Gholgachi from the h/o Jugol Mandal towards Durgat,3201009008/RC/320201060136064,08-07-2013,2567,46376,0,755,45621,0  ,48943,
32000599806,Earth work in Road,Earthern road,Gholgachi Earth Work in a Road from Cuvert to Gupiya Bill,3201009008/RC/320201060121198,06-02-2013,173496,8607,0,8607,0,0  ,182103,
32000599873,Earth work in Road,Earthern road,Earth work in Belemath at Baliadanga under,3201009008/RC/03/26,20-06-2009,33328,39024.54,0,0,39024.54,0  ,72352.54,
32000600330,Improvement of Land,Reclamation of Land,"Baliadanga, Land Developement of the indivisual Benificiary (BPL/SC/ST) Phase-IV",3201009008/LD/321002040548661,21-01-2014,362396,26253,0,26253,0,0  ,388649,
32000600657,Improvement of pond,Earthern road,Earthwork in pond of Binoy Krishna Ghosh at Baliadanga,3201009008/RC/16,17-03-2009,170740,0,0,0,0,0  ,170740,
32000600241,Improvement of Land,Reclamation of Land,"Baliadanga, Land Developement of  the indivisual benificiary (BPL/SC/ST) under Dignagar G.P ",3201009008/LD/321002040538743,21-01-2014,163666,17099,0,17099,0,0  ,180765,
32000600862,Earth work in Road,Earthern road,Earth work in road embankment on road in Dignagar South Modak para ,3201009008/RC/06/03,25-03-2009,134069,0,0,0,0,0  ,134069,
32000600158,Improvement of Land,Development of Waste/Fallow Land,"Baliadanga, Land developement of the indivisual benificiary (BPL/SC/ST) Phase II",3201009008/LD/321002040533855,06-01-2014,255938,0,0,0,0,0  ,255938,
32000599895,Improvement of Land,Reclamation of Land,"Baliadanga, Land developement of the indivisual benificiary ( BPL/SC/ST) Phase  I",3201009008/LD/321002040530665,18-12-2013,177390,11153,0,11153,0,0  ,188543,
32000600885,Earth work in Road,Bitumen Top,E/W in a road with Gardwall from fisher Samity Ghat upto Charktala Ghat at Modokpara,3201009008/RC/09 (11-12),28-01-2012,230570,0,0,0,0,0  ,230570,
32000600810,Improvement of Land,Reclamation of Land,"Modakpara, Land Developement of the indivisual benificiary",3201009008/LD/321002040535157,10-01-2014,92272,20736,0,20736,0,0  ,113008,
32000600938,Earth work in Road,Earthern road,"Modakpara, Earthwork in road with bamboo pilling fromthe H/O Khokan Durlav to Charaktala under Digna",3201009008/RC/320201060141976,19-09-2013,158556,0,0,0,0,0  ,158556,
32000600840,Earth work in Road,Bitumen Top,Earth work in a road from the Bramhanpara ghat upto Village of Dignagar,3201009008/RC/02/11-12,02-11-2011,96606,0,0,0,0,0  ,96606,
32000601004,Improvement of Land,Reclamation of Land,"Modakpara, Land development  of the indi.beni (BPL/SC/ST) Phase I",3201009008/LD/321002040571856,01-08-2014,362276,12000,12000,0,0,0  ,374276,
32000600752,Earth work in Road,Land Leveling,Earth work in embankment on road from the shib Mandir Ghat the bank of Dhigi at Dig South,3201009008/LD/14 (10-11),06-04-2010,319492,0,0,0,0,0  ,319492,
32000635440,Renovation of Drain,Construction of Storm Water Drains,"Jeolgari, Renovation of Earthen Drain from Paschimpara to Cinema Hall",3201009008/FP/70201132507,17-07-2014,100696,0,0,0,0,0  ,100696,
32000601546,Improvement of Land,Reclamation of Land,"Modakpara, Land Development of the indi. Beni Phase II",3201009008/LD/321002040573014,18-08-2014,360964,8619,0,8619,0,0  ,369583,
32000635505,Improvement of Land,Reclamation of Land,"Geolgari, Land Development. Phase II",3201009008/LD/321002040573011,18-08-2014,215168,25348,0,25348,0,0  ,240516,
32000635534,Improvement of Land,Reclamation of Land,"Geolgari, Land developement of the indivisual benificiary ( BPL/SC/ST) under Dig G.P",3201009008/LD/321002040532694,18-12-2013,391536,17668,0,17668,0,0  ,409204,
32000635562,Improvement of Land,Reclamation of Land,"Dakshin Hatisala, Land Developement of the indivisual benificiary (BPL/SC/ST) Phase-II",3201009008/LD/321002040548914,13-02-2014,173156,0,0,0,0,0  ,173156,
32000600777,Improvement of Land,Reclamation of Land,"Modakpara, Land developement of the indivisual benificiary ( SC/ST/IAY)  under Dignagar G.P",3201009008/LD/321002040532081,05-12-2013,85264,0,0,0,0,0  ,85264,
32000635728,Improvement of Land,Reclamation of Land,"Uttar Hatisala, Land development of the Indivisual Benificiary( BPL/SC/ST/IAY) under Dignagar G.P",3201009008/LD/321002040523298,30-09-2013,337620,0,0,0,0,0  ,337620,
32000600924,Earth work in Road,Earthern road,Modakpara Earthwork in road from Battala towards Gholgachi ,3201009008/RC/320201060200371,10-07-2014,235504,0,0,0,0,0  ,235504,
32000635798,Improvement of Land,Reclamation of Land,"Uttar Hatisala, Land Developement of the indivisual Benificiary (BPL/SC/ST) Phase -III",3201009008/LD/321002040548693,18-02-2014,146042,17743,0,17743,0,0  ,163785,
32000635698,Earth work in Road,Land Leveling,Earth Work on the road from NH34 towards rail line at Hatisala Uttar,3201009008/LD/12 (10-11),17-05-2010,37127,4009.95,0,0,4009.95,0  ,41136.95,
32000635831,Improvement of Land,Reclamation of Land,"Hatisala Madhyam, land developement of the indivisual benificiary (BPL/SC/ST) under Dig G.P",3201009008/LD/321002040536028,06-01-2014,314192,19011,0,19011,0,0  ,333203,
32000635874,Earth work in Road,Earthern road,Earthwork in the road from the h/o Naren Pramanik to Monoronjan Biswas at Uttr. hatisala,3201009008/RC/06(10-11),16-01-2010,147046,124108,0,0,124108,0  ,271154,
32000635921,Earth work in Road,Earthern road,Repair of a wbm road at Hatisala uttar from the house of Basanti Biswas towards the house or Gopal B,3201009008/RC/10/24,01-08-2009,28355,421559.15,0,0,421559.15,0  ,449914.15,
32000635583,Improvement of Land,Reclamation of Land,"Dakshin Hatisala, Land Developement of the indivisual benificiary (BPL/SC/ST) under Dignagar G.P Pha",3201009008/LD/321002040538755,18-12-2013,94316,0,0,0,0,0  ,94316,
32000635968,Improvement of Land,Reclamation of Land,"Uttar Hatisala, Land developement of the indivisual Benificiary Phase II",3201009008/LD/321002040529136,09-12-2013,383967,3295,0,3295,0,0  ,387262,
32000635990,Improvement of Land,Development of Waste Land,"Hatisala Uttar, Land Development of the indivisual benificiary (BPL/SC/ST) beni Phase -I",3201009008/LD/321002040569359,05-07-2014,67404,4816,0,4816,0,0  ,72220,
32000635943,Improvement of Land,Reclamation of Land,"Hatisala Uttar, Land Development of the indivisual beni (BPL/SC/ST)",3201009008/LD/321002040570251,07-07-2014,35260,0,0,0,0,0  ,35260,
32000636009,Improvement of Land,Reclamation of Land,"Hatisala Uttar, Land Development of the indivisual beni (BPL/SC/ST/IAY) Phase IV",3201009008/LD/321002040571491,17-07-2014,54940,0,0,0,0,0  ,54940,
32000636034,Improvement of Land,Development of Waste Land,"Hatisala Uttar, Land development of the indivisual beni (BPL/SC/ST) Phase II",3201009008/LD/321002040569686,07-07-2014,79868,0,0,0,0,0  ,79868,
32000636503,Improvement of Land,Reclamation of Land,"Bazarpara, Land Development of the indi. beni (BPL/SC/ST/IAY) Phase I",3201009008/LD/321002040568966,02-07-2014,291100,8873,0,8873,0,0  ,299973,
32000636694,Earth work in Road,Earthern road,"Modakpara,Earth Work in road from Nikaripara Ghat to Culvert under Dignagar Gram Panchayet ",3201009008/RC/320201060132936,08-05-2013,393321,5889,0,5889,0,0  ,399210,
32000636737,Earth work in Road,Bitumen Top,E/W in a Road from the h/o Alo Dafader upto Gupiya Khal,3201009008/RC/13(11-12),07-03-2012,108480,0,0,0,0,0  ,108480,
