scheme_code,completion_date,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3214003007/IF/IAY/4194294,29-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5637957 ,29-06-2021,19380,0,18768,0,28-07-2020,18768,0,0,0,0  ,18768,
3214003007/LD/321002040803340,03-05-2020,Land Development of jiban Tudu 18-19 ,03-05-2020,190427,8230,128925.12,6223.5,06-08-2018,128925.12,0,3724.5,2499,0  ,135148.62,
3214003007/IF/IAY/4194591,10-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5388184 ,10-06-2021,19380,0,18972,0,28-07-2020,18972,0,0,0,0  ,18972,
3214003007/LD/321002040803337,03-05-2020,Land Development of Manilal Besra 18-19 ,03-05-2020,190427,8230,100084.08,5364,06-08-2018,100084.08,0,2865,2499,0  ,105448.08,
3214003007/IF/PP/1037509,20-10-2020,UM Excav of Sachilal Mudi Farm Pond ,20-10-2020,195694.61,2500,226921,0,06-09-2020,226921,0,0,0,0  ,226921,
3214003007/IF/IAY/4194233,08-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5564899 ,08-08-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194584,31-05-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3101929 ,31-05-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/LD/321002040803338,03-05-2020,Land Development of Prafullya Tudu 18-19 ,03-05-2020,190427,8230,183933,7942.5,06-08-2018,183933,0,5443.5,2499,0  ,191875.5,
3214003007/IF/PP/1037432,20-10-2020,UM Excav  Jiten Bauri Happa ,20-10-2020,206318.86,2500,214146.26,0,12-07-2020,214146.26,0,0,0,0  ,214146.26,
3214003007/IF/IAY/3010116,28-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4070594 ,28-06-2020,19380,0,18977,0,06-11-2019,18977,0,0,0,0  ,18977,
3214003007/IF/IAY/4620086,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4931357 ,08-11-2021,19380,0,11832,0,01-03-2020,11832,0,0,0,0  ,11832,
3214003007/IF/IAY/4194225,19-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4857929 ,19-06-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/3010106,22-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4320190 ,22-07-2020,19380,0,18968,0,06-11-2019,18968,0,0,0,0  ,18968,
3214003007/IF/IAY/4194606,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5598812 ,16-07-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/3368654,23-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3834864 ,23-07-2020,19380,0,19176,0,01-03-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194173,22-05-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5593885 ,22-05-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/LD/321002040803335,03-05-2020,Land Development of Ratan Mandi 18-19 ,03-05-2020,190427,8230,86714,5077.5,06-08-2018,86714,0,2578.5,2499,0  ,91791.5,
3214003007/IF/IAY/4194211,08-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1233453 ,08-12-2021,19380,0,18768,0,28-07-2020,18768,0,0,0,0  ,18768,
3214003007/IF/IAY/4194174,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5543630 ,16-07-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194117,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5552455 ,16-07-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194110,23-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3770481 ,23-07-2021,19380,0,18768,0,28-07-2020,18768,0,0,0,0  ,18768,
3214003007/IF/IAY/3344618,30-11-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3208391 ,30-11-2020,19380,0,17340,0,24-09-2019,17340,0,0,0,0  ,17340,
3214003007/RC/320201060152084,17-07-2018,Susunia Bolpukhoria to Saharjuri Road ,17-07-2018,298225,320095,209310,385106,03-01-2014,209310,0,3559.5,381546.5,0  ,594416,
3214003007/IF/IAY/4194121,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5376874 ,16-07-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4193996,25-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5552511 ,25-08-2021,19380,0,17952,0,28-07-2020,17952,0,0,0,0  ,17952,
3214003007/IF/IAY/4194003,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3419019 ,08-11-2021,19380,0,18156,0,28-07-2020,18156,0,0,0,0  ,18156,
3214003007/LD/321002040655122,16-08-2018,Land Dev. of Rajesh Bauri 17-18 ,16-08-2018,189360,8170,72180.05,1080,26-10-2017,72180.05,0,1080,0,0  ,73260.05,
3214003007/RC/320201060152076,15-08-2018,Poddarpara More to Susunia Bolpukhoria Road ,15-08-2018,323140,295179,264702,267492.11,03-01-2014,264702,0,4638,262854.11,0  ,532194.11,
3214003007/IF/IAY/701125,20-09-2018,Construction of IAY House -IAY REG. NO. WB-14-003-007-005/21969 ,20-09-2018,16530,0,15280,0,29-10-2015,15280,0,0,0,0  ,15280,
3214003007/IF/IAY/4194161,29-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5511829 ,29-06-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/LD/321002040655524,16-08-2018,Land Dev. of Nunaram Mudi 17-18 ,16-08-2018,43560,3850,43560.5,540,26-10-2017,43560.5,0,540,0,0  ,44100.5,
3214003007/IF/IAY/3344616,22-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4929133 ,22-07-2020,19380,0,18972,0,24-09-2019,18972,0,0,0,0  ,18972,
3214003007/RC/320201060152064,17-07-2018,Bauri Bandh to Bhaluksudha Road at Jambad West ,17-07-2018,298225,320095,178024,384261.15,03-01-2014,178024,0,2491.5,381769.65,0  ,562285.15,
3214003007/IF/IAY/2090535,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3776639 ,29-01-2019,18145,0,17381,0,15-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/4194158,23-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1322632 ,23-07-2021,19380,0,18768,0,28-07-2020,18768,0,0,0,0  ,18768,
3214003007/IF/IAY/2074631,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4066586 ,29-01-2019,18145,0,17381,0,15-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2085692,20-03-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4504785 ,20-03-2019,18145,0,17381,0,24-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2080022,01-02-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5614105 ,01-02-2019,18145,0,17381,0,26-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2947187,23-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5543455 ,23-06-2020,19380,0,18873,0,24-09-2019,18873,0,0,0,0  ,18873,
3214003007/IF/IAY/2947175,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5693663 ,05-07-2020,19380,0,18340,0,24-09-2019,18340,0,0,0,0  ,18340,
3214003007/IF/IAY/2084867,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3216172 ,29-01-2019,18145,0,18145,0,15-01-2018,18145,0,0,0,0  ,18145,
3214003007/IF/IAY/2089917,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2449613 ,29-01-2019,18145,0,17381,0,15-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2074293,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5576169 ,29-01-2019,18145,0,16235,0,15-01-2018,16235,0,0,0,0  ,16235,
3214003007/IF/IAY/2907966,28-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5576328 ,28-06-2020,19380,0,18951,0,24-09-2019,18951,0,0,0,0  ,18951,
3214003007/IF/IAY/2907885,23-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5651164 ,23-07-2020,19380,0,18288,0,24-09-2019,18288,0,0,0,0  ,18288,
3214003007/IF/IAY/2907921,28-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4990198 ,28-06-2020,19380,0,18366,0,24-09-2019,18366,0,0,0,0  ,18366,
3214003007/IF/IAY/2907899,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5100630 ,05-07-2020,19380,0,18522,0,24-09-2019,18522,0,0,0,0  ,18522,
3214003007/IF/IAY/2080123,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1625106 ,29-01-2019,18145,0,17381,0,15-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2907849,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4079779 ,05-07-2020,19380,0,18548,0,24-09-2019,18548,0,0,0,0  ,18548,
3214003007/IF/IAY/2075126,20-03-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2778670 ,20-03-2019,18145,0,17190,0,15-01-2018,17190,0,0,0,0  ,17190,
3214003007/IF/IAY/2907866,30-11-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5579980 ,30-11-2020,19380,0,17340,0,24-09-2019,17340,0,0,0,0  ,17340,
3214003007/IF/IAY/2907792,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5223159 ,05-07-2020,19380,0,18210,0,24-09-2019,18210,0,0,0,0  ,18210,
3214003007/IF/IAY/2089268,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3830866 ,29-01-2019,18145,0,17381,0,24-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2907882,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5561368 ,05-07-2020,19380,0,18340,0,24-09-2019,18340,0,0,0,0  ,18340,
3214003007/IF/IAY/2907681,28-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4967114 ,28-06-2020,19380,0,18353,0,24-09-2019,18353,0,0,0,0  ,18353,
3214003007/IF/IAY/2907646,23-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5498312 ,23-07-2020,19380,0,18964,0,24-09-2019,18964,0,0,0,0  ,18964,
3214003007/IF/IAY/2907640,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5643852 ,05-07-2020,19380,0,18522,0,24-09-2019,18522,0,0,0,0  ,18522,
3214003007/IF/IAY/2907660,17-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5505256 ,17-06-2020,19380,0,18548,0,24-09-2019,18548,0,0,0,0  ,18548,
3214003007/IF/IAY/2907632,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5393930 ,05-07-2020,19380,0,18552,0,24-09-2019,18552,0,0,0,0  ,18552,
3214003007/IF/IAY/2907767,17-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3995711 ,17-06-2020,19380,0,18582,0,22-10-2019,18582,0,0,0,0  ,18582,
3214003007/IF/IAY/2907802,23-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5463998 ,23-07-2020,19380,0,18288,0,24-09-2019,18288,0,0,0,0  ,18288,
3214003007/IF/IAY/2907589,17-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5201777 ,17-06-2020,19380,0,19380,0,22-10-2019,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/2907529,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5235439 ,05-07-2020,19380,0,18509,0,24-09-2019,18509,0,0,0,0  ,18509,
3214003007/IF/IAY/2907621,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5508207 ,05-07-2020,19380,0,18470,0,24-09-2019,18470,0,0,0,0  ,18470,
3214003007/IF/IAY/2907525,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5714666 ,05-07-2020,19380,0,18548,0,24-09-2019,18548,0,0,0,0  ,18548,
3214003007/IF/IAY/4193993,29-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5444334 ,29-06-2021,19380,0,18972,0,15-06-2020,18972,0,0,0,0  ,18972,
3214003007/IF/IAY/4193959,31-05-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5532287 ,31-05-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/2907568,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5237130 ,05-07-2020,19380,0,18483,0,24-09-2019,18483,0,0,0,0  ,18483,
3214003007/IF/IAY/2907776,25-09-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5623061 ,25-09-2020,19380,0,17940,0,24-09-2019,17940,0,0,0,0  ,17940,
3214003007/IF/IAY/2907613,01-03-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5197296 ,01-03-2021,19380,0,18977,0,24-09-2019,18977,0,0,0,0  ,18977,
3214003007/IF/IAY/4193981,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4747232 ,16-07-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4193915,10-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5552400 ,10-06-2021,19380,0,19176,0,10-08-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4193919,31-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3977024 ,31-07-2021,19380,0,18564,0,28-07-2020,18564,0,0,0,0  ,18564,
3214003007/IF/IAY/4193889,11-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5235462 ,11-12-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4193842,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5379927 ,16-07-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4193800,31-05-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5383894 ,31-05-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/2907651,17-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5517107 ,17-06-2020,19380,0,19354,0,24-09-2019,19354,0,0,0,0  ,19354,
3214003007/IF/IAY/4193780,10-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5525215 ,10-06-2021,19380,0,18564,0,28-07-2020,18564,0,0,0,0  ,18564,
3214003007/IF/IAY/4193804,03-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1691938 ,03-07-2021,19380,0,19380,0,15-06-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4193944,10-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3806894 ,10-06-2021,19380,0,18768,0,28-07-2020,18768,0,0,0,0  ,18768,
3214003007/IF/IAY/4193757,11-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3993958 ,11-12-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4193752,29-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5393879 ,29-06-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4193775,31-05-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5543648 ,31-05-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4193773,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2955832 ,16-07-2021,19380,0,19380,0,27-05-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4193748,08-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5579138 ,08-08-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4193724,10-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5650093 ,10-06-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4193707,10-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5304388 ,10-06-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4193676,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5316964 ,16-07-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4193693,01-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3829382 ,01-12-2021,19380,0,18972,0,28-07-2020,18972,0,0,0,0  ,18972,
3214003007/IF/IAY/2072392,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4303348 ,29-01-2019,18145,0,18145,0,26-01-2018,18145,0,0,0,0  ,18145,
3214003007/IF/IAY/2073609,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1934930 ,29-01-2019,18145,0,18145,0,15-01-2018,18145,0,0,0,0  ,18145,
3214003007/IF/IAY/2072012,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3547261 ,29-01-2019,18145,0,19864,0,15-01-2018,19864,0,0,0,0  ,19864,
3214003007/IF/IAY/2070219,20-03-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3891212 ,20-03-2019,18145,0,17763,0,24-01-2018,17763,0,0,0,0  ,17763,
3214003007/IF/IAY/2069790,01-02-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5648153 ,01-02-2019,18145,0,17381,0,26-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2069233,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2111323 ,29-01-2019,18145,0,18145,0,26-01-2018,18145,0,0,0,0  ,18145,
3214003007/IF/IAY/2071859,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5511730 ,29-01-2019,18145,0,17381,0,26-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/4193697,08-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2228306 ,08-12-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/2069029,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3785497 ,29-01-2019,18145,0,17381,0,24-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/4193726,08-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5576179 ,08-12-2021,19380,0,16320,0,28-07-2020,16320,0,0,0,0  ,16320,
3214003007/IF/IAY/2067324,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2812022 ,29-01-2019,18145,0,19864,0,15-01-2018,19864,0,0,0,0  ,19864,
3214003007/IF/IAY/4193879,08-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5548425 ,08-06-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/2066965,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5564986 ,29-01-2019,18145,0,17381,0,26-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2067170,20-03-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1964809 ,20-03-2019,18145,0,17190,0,15-01-2018,17190,0,0,0,0  ,17190,
3214003007/IF/IAY/2066103,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3764319 ,29-01-2019,18145,0,17381,0,24-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2066053,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3336961 ,29-01-2019,18145,0,17381,0,24-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2064459,20-03-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5468027 ,20-03-2019,18145,0,17381,0,15-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2066258,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2820247 ,29-01-2019,18145,0,17381,0,15-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2063716,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4284352 ,29-01-2019,18145,0,17381,0,26-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2067730,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2773536 ,29-01-2019,18145,0,17381,0,15-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2063140,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1164217 ,29-01-2019,18145,0,17381,0,15-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2068270,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2885462 ,29-01-2019,18145,0,17381,0,15-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2063435,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3491295 ,29-01-2019,18145,0,17381,0,24-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2062578,29-01-2019,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3963641 ,29-01-2019,18145,0,17381,0,15-01-2018,17381,0,0,0,0  ,17381,
3214003007/IF/IAY/2907520,22-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5586406 ,22-07-2020,19380,0,19380,0,24-09-2019,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/2907504,23-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3997478 ,23-06-2020,19380,0,17763,0,22-10-2019,17763,0,0,0,0  ,17763,
3214003007/IF/IAY/2907860,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4191856 ,05-07-2020,19380,0,18275,0,24-09-2019,18275,0,0,0,0  ,18275,
3214003007/IF/IAY/2907490,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5641572 ,05-07-2020,19380,0,18418,0,24-09-2019,18418,0,0,0,0  ,18418,
3214003007/IF/IAY/2907496,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5580014 ,05-07-2020,19380,0,18340,0,24-09-2019,18340,0,0,0,0  ,18340,
3214003007/IF/IAY/2907468,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4929389 ,05-07-2020,19380,0,18340,0,24-09-2019,18340,0,0,0,0  ,18340,
3214003007/IF/IAY/2907420,17-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5533587 ,17-06-2020,19380,0,18548,0,24-09-2019,18548,0,0,0,0  ,18548,
3214003007/IF/IAY/4193940,29-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5607090 ,29-06-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/2907521,28-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5567703 ,28-06-2020,19380,0,17793,0,24-09-2019,17793,0,0,0,0  ,17793,
3214003007/IF/IAY/2907381,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4900834 ,05-07-2020,19380,0,18340,0,24-09-2019,18340,0,0,0,0  ,18340,
3214003007/IF/IAY/2907363,23-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5377729 ,23-07-2020,19380,0,18288,0,24-09-2019,18288,0,0,0,0  ,18288,
3214003007/IF/IAY/2907404,28-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5561586 ,28-06-2020,19380,0,18366,0,24-09-2019,18366,0,0,0,0  ,18366,
3214003007/IF/IAY/2907378,23-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5564823 ,23-07-2020,19380,0,18964,0,24-09-2019,18964,0,0,0,0  ,18964,
3214003007/IF/IAY/2907524,23-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5533588 ,23-06-2020,19380,0,18756,0,24-09-2019,18756,0,0,0,0  ,18756,
3214003007/IF/IAY/2907488,02-08-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5564921 ,02-08-2020,19380,0,19176,0,24-09-2019,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/2907357,23-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5573771 ,23-07-2020,19380,0,18522,0,24-09-2019,18522,0,0,0,0  ,18522,
3214003007/IF/IAY/2907308,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5376776 ,05-07-2020,19380,0,18288,0,24-09-2019,18288,0,0,0,0  ,18288,
3214003007/IF/IAY/2907332,17-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3996579 ,17-06-2020,19380,0,17958,0,22-10-2019,17958,0,0,0,0  ,17958,
3214003007/IF/IAY/2907261,17-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5525038 ,17-06-2020,19380,0,18782,0,24-09-2019,18782,0,0,0,0  ,18782,
3214003007/IF/IAY/2907286,23-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4364215 ,23-07-2020,19380,0,18964,0,24-09-2019,18964,0,0,0,0  ,18964,
3214003007/IF/IAY/2907951,05-07-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5573565 ,05-07-2020,19380,0,18548,0,24-09-2019,18548,0,0,0,0  ,18548,
3214003007/IF/IAY/2907256,23-06-2020,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3791930 ,23-06-2020,19380,0,18366,0,22-10-2019,18366,0,0,0,0  ,18366,
3214003007/IF/IAY/4193643,25-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5623060 ,25-08-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4193582,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3115931 ,16-07-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
